instant,season,yr,mnth,time,holiday,weekday,workingday,weather,temp,feeltemp,humidity,windspeed,casual,registered,count
8748,1,1,1,2,0,4,1,2,8.2,11.365,69,6.0032,3,212,215
8749,1,1,1,2,0,4,1,2,8.2,12.88,75,0,11,377,388
8750,1,1,1,2,0,4,1,2,9.02,13.635,69,0,7,220,227
8751,1,1,1,3,0,4,1,2,9.84,12.88,52,6.0032,5,81,86
8752,1,1,1,3,0,4,1,1,12.3,16.665,49,0,6,78,84
8753,1,1,1,3,0,4,1,1,12.3,14.395,49,16.9979,6,114,120
8754,1,1,1,3,0,4,1,1,13.94,15.15,42,19.9995,6,112,118
8755,1,1,1,3,0,4,1,1,13.94,15.91,39,19.0012,13,104,117
8756,1,1,1,3,0,4,1,1,14.76,16.665,34,19.0012,6,113,119
8757,1,1,1,3,0,4,1,1,14.76,16.665,34,19.0012,19,178,197
8758,1,1,1,3,0,4,1,2,14.76,17.425,34,12.998,19,393,412
8759,1,1,1,4,0,4,1,1,13.94,16.665,36,11.0014,9,374,383
8760,1,1,1,4,0,4,1,1,13.94,17.425,34,6.0032,10,255,265
8761,1,1,1,4,0,4,1,1,12.3,16.665,49,0,5,172,177
8762,1,1,1,4,0,4,1,1,10.66,13.635,60,8.9981,9,88,97
8763,1,1,1,1,0,4,1,1,10.66,12.88,60,11.0014,1,70,71
8764,1,1,1,1,0,4,1,1,9.84,12.88,70,7.0015,4,56,60
8765,1,1,1,1,0,5,1,1,9.02,12.88,75,6.0032,1,24,25
8766,1,1,1,1,0,5,1,1,9.02,13.635,75,0,2,6,8
8767,1,1,1,1,0,5,1,1,9.02,11.365,69,11.0014,2,3,5
8768,1,1,1,1,0,5,1,1,9.02,12.12,69,7.0015,1,3,4
8769,1,1,1,1,0,5,1,1,9.02,11.365,69,8.9981,0,3,3
8770,1,1,1,1,0,5,1,2,8.2,10.605,80,8.9981,0,13,13
8771,1,1,1,1,0,5,1,2,9.02,12.12,73,7.0015,1,69,70
8772,1,1,1,2,0,5,1,2,9.84,14.395,65,0,4,201,205
8773,1,1,1,2,0,5,1,1,9.84,12.12,70,8.9981,11,436,447
8774,1,1,1,2,0,5,1,1,9.84,12.12,70,11.0014,4,237,241
8775,1,1,1,3,0,5,1,1,10.66,12.88,65,12.998,14,102,116
8776,1,1,1,3,0,5,1,1,12.3,15.15,56,11.0014,8,130,138
8777,1,1,1,3,0,5,1,1,14.76,16.665,50,16.9979,23,168,191
8778,1,1,1,3,0,5,1,1,16.4,20.455,43,19.0012,16,188,204
8779,1,1,1,3,0,5,1,1,18.86,22.725,36,12.998,26,152,178
8780,1,1,1,3,0,5,1,1,21.32,25,27,16.9979,44,178,222
8781,1,1,1,3,0,5,1,1,21.32,25,27,19.0012,35,259,294
8782,1,1,1,3,0,5,1,1,18.86,22.725,36,15.0013,20,456,476
8783,1,1,1,4,0,5,1,1,20.5,24.24,29,16.9979,28,391,419
8784,1,1,1,4,0,5,1,1,18.86,22.725,33,19.0012,11,261,272
8785,1,1,1,4,0,5,1,1,17.22,21.21,41,12.998,14,163,177
8786,1,1,1,4,0,5,1,1,16.4,20.455,43,15.0013,17,137,154
8787,1,1,1,1,0,5,1,1,14.76,17.425,50,12.998,12,123,135
8788,1,1,1,1,0,5,1,1,14.76,18.94,50,0,13,88,101
8789,1,1,1,1,0,6,0,1,14.76,17.425,50,11.0014,2,77,79
8790,1,1,1,1,0,6,0,1,15.58,19.695,46,11.0014,6,56,62
8791,1,1,1,1,0,6,0,1,14.76,18.18,50,7.0015,2,36,38
8792,1,1,1,1,0,6,0,1,13.12,16.665,57,7.0015,1,19,20
8793,1,1,1,1,0,6,0,1,13.12,16.665,57,6.0032,1,9,10
8794,1,1,1,1,0,6,0,1,10.66,13.635,75,7.0015,2,7,9
8795,1,1,1,1,0,6,0,1,10.66,13.635,75,7.0015,0,7,7
8796,1,1,1,2,0,6,0,1,9.02,11.365,87,12.998,0,20,20
8797,1,1,1,2,0,6,0,1,9.84,12.88,75,7.0015,0,64,64
8798,1,1,1,2,0,6,0,1,9.02,11.365,80,8.9981,14,116,130
8799,1,1,1,3,0,6,0,1,11.48,15.15,75,6.0032,43,160,203
8800,1,1,1,3,0,6,0,1,13.94,15.91,57,15.0013,74,250,324
8801,1,1,1,3,0,6,0,1,16.4,20.455,43,15.0013,100,276,376
8802,1,1,1,3,0,6,0,1,18.04,21.97,44,12.998,149,296,445
8803,1,1,1,3,0,6,0,1,20.5,24.24,42,19.0012,156,356,512
8804,1,1,1,3,0,6,0,1,23.78,27.275,37,19.9995,132,317,449
8805,1,1,1,3,0,6,0,2,22.96,26.515,37,19.0012,133,268,401
8806,1,1,1,3,0,6,0,2,22.14,25.76,43,8.9981,87,235,322
8807,1,1,1,4,0,6,0,1,22.14,25.76,45,8.9981,49,248,297
8808,1,1,1,4,0,6,0,1,21.32,25,42,7.0015,44,171,215
8809,1,1,1,4,0,6,0,1,20.5,24.24,39,16.9979,21,149,170
8810,1,1,1,4,0,6,0,1,18.04,21.97,44,15.0013,22,118,140
8811,1,1,1,1,0,6,0,1,18.04,21.97,38,16.9979,16,93,109
8812,1,1,1,1,0,6,0,1,17.22,21.21,38,15.0013,16,103,119
8813,1,1,1,1,0,0,0,1,15.58,19.695,40,19.0012,14,77,91
8814,1,1,1,1,0,0,0,1,13.94,16.665,42,12.998,10,62,72
8815,1,1,1,1,0,0,0,1,14.76,16.665,37,19.0012,10,57,67
8816,1,1,1,1,0,0,0,1,13.94,16.665,42,8.9981,6,26,32
8817,1,1,1,1,0,0,0,1,13.12,15.15,49,16.9979,2,4,6
8818,1,1,1,1,0,0,0,2,13.12,16.665,49,7.0015,0,2,2
8819,1,1,1,1,0,0,0,2,12.3,16.665,52,0,0,2,2
8820,1,1,1,2,0,0,0,2,12.3,16.665,52,0,1,23,24
8821,1,1,1,2,0,0,0,1,12.3,15.15,52,8.9981,4,53,57
8822,1,1,1,2,0,0,0,1,13.12,16.665,53,8.9981,23,102,125
8823,1,1,1,3,0,0,0,1,13.94,16.665,49,11.0014,27,181,208
8824,1,1,1,3,0,0,0,1,14.76,17.425,46,15.0013,55,201,256
8825,1,1,1,3,0,0,0,1,15.58,19.695,43,15.0013,78,273,351
8826,1,1,1,3,0,0,0,1,16.4,20.455,37,19.9995,77,266,343
8827,1,1,1,3,0,0,0,1,16.4,20.455,40,12.998,75,253,328
8828,1,1,1,3,0,0,0,1,16.4,20.455,37,19.0012,89,241,330
8829,1,1,1,3,0,0,0,1,16.4,20.455,37,19.9995,58,256,314
8830,1,1,1,3,0,0,0,1,15.58,19.695,40,15.0013,22,197,219
8831,1,1,1,4,0,0,0,1,13.94,15.91,46,15.0013,19,162,181
8832,1,1,1,4,0,0,0,1,13.12,15.91,49,12.998,8,104,112
8833,1,1,1,4,0,0,0,1,12.3,15.15,52,11.0014,7,119,126
8834,1,1,1,4,0,0,0,1,11.48,13.635,56,15.0013,10,81,91
8835,1,1,1,1,0,0,0,1,10.66,13.635,60,7.0015,4,54,58
8836,1,1,1,1,0,0,0,1,10.66,12.12,56,16.9979,0,30,30
8837,1,1,1,1,0,1,1,1,9.84,11.365,60,15.0013,3,12,15
8838,1,1,1,1,0,1,1,1,9.84,12.12,60,8.9981,1,4,5
8839,1,1,1,1,0,1,1,1,9.84,12.12,56,8.9981,2,3,5
8840,1,1,1,1,0,1,1,1,9.84,12.12,52,11.0014,0,3,3
8841,1,1,1,1,0,1,1,1,9.02,12.12,64,7.0015,0,4,4
8842,1,1,1,1,0,1,1,2,8.2,11.365,64,6.0032,0,21,21
8843,1,1,1,1,0,1,1,2,9.02,11.365,60,8.9981,3,85,88
8844,1,1,1,2,0,1,1,2,9.02,12.12,60,7.0015,1,239,240
8845,1,1,1,2,0,1,1,2,9.02,12.88,55,6.0032,13,407,420
8846,1,1,1,2,0,1,1,2,9.02,13.635,64,0,9,188,197
8847,1,1,1,3,0,1,1,1,9.84,14.395,60,0,13,95,108
8848,1,1,1,3,0,1,1,2,10.66,14.395,56,6.0032,6,82,88
8849,1,1,1,3,0,1,1,2,10.66,13.635,56,7.0015,10,93,103
8850,1,1,1,3,0,1,1,2,10.66,13.635,56,7.0015,3,77,80
8851,1,1,1,3,0,1,1,3,9.02,11.365,75,11.0014,5,45,50
8852,1,1,1,3,0,1,1,3,9.02,11.365,75,11.0014,5,64,69
8853,1,1,1,3,0,1,1,3,9.02,12.88,87,6.0032,3,46,49
8854,1,1,1,3,0,1,1,3,9.02,13.635,87,0,5,147,152
8855,1,1,1,4,0,1,1,4,8.2,11.365,86,6.0032,6,158,164
8856,1,1,1,4,0,1,1,3,8.2,11.365,93,6.0032,3,187,190
8857,1,1,1,4,0,1,1,2,8.2,11.365,86,6.0032,5,127,132
8858,1,1,1,4,0,1,1,2,8.2,12.88,93,0,1,78,79
8859,1,1,1,1,0,1,1,2,8.2,11.365,92,7.0015,8,54,62
8860,1,1,1,1,0,1,1,2,9.02,12.12,87,7.0015,1,51,52
8861,1,1,1,1,0,2,1,2,9.02,12.12,87,7.0015,0,14,14
8862,1,1,1,1,0,2,1,2,9.02,12.12,93,7.0015,2,3,5
8863,1,1,1,1,0,2,1,2,9.02,11.365,87,11.0014,2,2,4
8864,1,1,1,1,0,2,1,2,8.2,10.605,86,11.0014,0,4,4
8865,1,1,1,1,0,2,1,1,16.4,20.455,47,15.0013,0,23,23
8866,1,1,1,1,0,2,1,2,7.38,9.09,93,12.998,0,79,79
8867,1,1,1,2,0,2,1,2,7.38,9.85,93,11.0014,3,219,222
8868,1,1,1,2,0,2,1,2,7.38,9.85,93,11.0014,6,465,471
8869,1,1,1,2,0,2,1,2,7.38,9.85,93,11.0014,11,184,195
8870,1,1,1,3,0,2,1,2,7.38,9.85,93,11.0014,3,80,83
8871,1,1,1,3,0,2,1,1,17.22,21.21,38,19.9995,8,93,101
8872,1,1,1,3,0,2,1,1,17.22,21.21,38,19.9995,13,127,140
8873,1,1,1,3,0,2,1,1,17.22,21.21,38,19.9995,15,163,178
8874,1,1,1,3,0,2,1,1,17.22,21.21,38,19.9995,10,96,106
8875,1,1,1,3,0,2,1,1,17.22,21.21,38,19.9995,17,119,136
8876,1,1,1,3,0,2,1,1,17.22,21.21,38,23.9994,15,225,240
8877,1,1,1,3,0,2,1,1,17.22,21.21,38,16.9979,14,446,460
8878,1,1,1,4,0,2,1,1,16.4,20.455,40,7.0015,13,372,385
8879,1,1,1,4,0,2,1,1,15.58,19.695,46,7.0015,11,270,281
8880,1,1,1,4,0,2,1,1,13.94,17.425,53,7.0015,10,190,200
8881,1,1,1,4,0,2,1,1,13.12,16.665,66,6.0032,7,109,116
8882,1,1,1,1,0,2,1,1,12.3,15.15,70,6.0032,10,104,114
8883,1,1,1,1,0,2,1,1,10.66,13.635,81,7.0015,3,38,41
8884,1,1,1,1,0,3,1,1,10.66,15.15,81,0,2,26,28
8885,1,1,1,1,0,3,1,1,9.84,12.88,87,6.0032,1,6,7
8886,1,1,1,1,0,3,1,1,8.2,10.605,85,11.0014,0,5,5
8887,1,1,1,1,0,3,1,1,9.02,13.635,80,0,0,4,4
8888,1,1,1,1,0,3,1,1,8.2,10.605,80,8.9981,0,2,2
8889,1,1,1,1,0,3,1,1,8.2,10.605,80,8.9981,0,22,22
8890,1,1,1,1,0,3,1,1,8.2,10.605,86,8.9981,2,72,74
8891,1,1,1,2,0,3,1,1,8.2,10.605,80,8.9981,9,247,256
8892,1,1,1,2,0,3,1,1,8.2,11.365,82,7.0015,11,488,499
8893,1,1,1,2,0,3,1,2,8.2,10.605,86,8.9981,7,218,225
8894,1,1,1,3,0,3,1,2,9.84,12.12,87,8.9981,13,84,97
8895,1,1,1,3,0,3,1,2,10.66,14.395,87,6.0032,9,90,99
8896,1,1,1,3,0,3,1,3,12.3,16.665,81,0,4,51,55
8897,1,1,1,3,0,3,1,3,13.12,17.425,76,0,8,57,65
8898,1,1,1,3,0,3,1,3,13.12,16.665,81,7.0015,3,70,73
8899,1,1,1,3,0,3,1,2,13.94,17.425,87,6.0032,6,73,79
8900,1,1,1,3,0,3,1,2,13.94,15.91,87,16.9979,6,112,118
8901,1,1,1,3,0,3,1,3,13.94,15.91,87,15.0013,6,128,134
8902,1,1,1,4,0,3,1,3,13.94,16.665,87,12.998,2,96,98
8903,1,1,1,4,0,3,1,3,13.12,15.15,93,15.0013,1,92,93
8904,1,1,1,4,0,3,1,3,13.12,15.91,93,11.0014,2,55,57
8905,1,1,1,4,0,3,1,3,13.94,15.91,87,15.0013,0,29,29
8906,1,1,1,1,0,3,1,3,13.94,16.665,87,12.998,0,49,49
8907,1,1,1,1,0,3,1,3,13.94,15.91,87,15.0013,0,9,9
8908,1,1,1,1,0,4,1,3,13.94,16.665,93,12.998,0,3,3
8909,1,1,1,1,0,4,1,3,14.76,17.425,93,12.998,0,3,3
8910,1,1,1,1,0,4,1,3,14.76,17.425,93,16.9979,1,1,2
8911,1,1,1,1,0,4,1,3,14.76,17.425,93,16.9979,0,3,3
8912,1,1,1,1,0,4,1,3,14.76,17.425,93,12.998,0,2,2
8913,1,1,1,1,0,4,1,3,13.94,17.425,93,6.0032,0,16,16
8914,1,1,1,1,0,4,1,3,14.76,17.425,93,8.9981,1,88,89
8915,1,1,1,2,0,4,1,2,13.94,15.91,87,19.0012,2,218,220
8916,1,1,1,2,0,4,1,1,13.12,15.91,81,12.998,11,497,508
8917,1,1,1,2,0,4,1,1,13.12,16.665,81,7.0015,10,220,230
8918,1,1,1,3,0,4,1,1,13.94,17.425,81,7.0015,6,84,90
8919,1,1,1,3,0,4,1,2,13.94,17.425,81,7.0015,18,101,119
8920,1,1,1,3,0,4,1,2,13.94,17.425,81,7.0015,14,130,144
8921,1,1,1,3,0,4,1,1,17.22,21.21,77,11.0014,13,170,183
8922,1,1,1,3,0,4,1,1,17.22,21.21,77,11.0014,24,132,156
8923,1,1,1,3,0,4,1,1,18.04,21.97,72,8.9981,32,156,188
8924,1,1,1,3,0,4,1,1,18.86,22.725,67,12.998,33,248,281
8925,1,1,1,3,0,4,1,1,18.86,22.725,63,11.0014,23,472,495
8926,1,1,1,4,0,4,1,1,18.04,21.97,67,12.998,22,399,421
8927,1,1,1,4,0,4,1,2,17.22,21.21,71,11.0014,17,313,330
8928,1,1,1,4,0,4,1,2,17.22,21.21,71,12.998,11,229,240
8929,1,1,1,4,0,4,1,1,18.04,21.97,67,8.9981,12,162,174
8930,1,1,1,1,0,4,1,1,15.58,19.695,76,19.9995,12,121,133
8931,1,1,1,1,0,4,1,1,16.4,20.455,76,22.0028,7,60,67
8932,1,1,1,1,0,5,1,2,16.4,20.455,71,19.0012,4,38,42
8933,1,1,1,1,0,5,1,2,15.58,19.695,76,19.9995,0,12,12
8934,1,1,1,1,0,5,1,1,16.4,20.455,76,23.9994,1,13,14
8935,1,1,1,1,0,5,1,1,14.76,16.665,87,16.9979,3,4,7
8936,1,1,1,1,0,5,1,3,13.12,14.395,70,32.9975,1,2,3
8937,1,1,1,1,0,5,1,2,12.3,12.12,70,36.9974,0,21,21
8938,1,1,1,1,0,5,1,2,10.66,12.88,75,15.0013,2,71,73
8939,1,1,1,2,0,5,1,1,10.66,12.88,60,15.0013,3,174,177
8940,1,1,1,2,0,5,1,1,9.84,10.605,52,23.9994,11,408,419
8941,1,1,1,2,0,5,1,1,9.02,9.85,47,26.0027,10,204,214
8942,1,1,1,3,0,5,1,1,9.84,9.85,44,30.0026,2,101,103
8943,1,1,1,3,0,5,1,1,9.84,9.09,38,40.9973,12,102,114
8944,1,1,1,3,0,5,1,1,9.84,9.85,38,32.9975,14,140,154
8945,1,1,1,3,0,5,1,1,10.66,10.605,33,35.0008,14,140,154
8946,1,1,1,3,0,5,1,1,10.66,10.605,33,36.9974,10,119,129
8947,1,1,1,3,0,5,1,1,10.66,10.605,33,39.0007,15,123,138
8948,1,1,1,3,0,5,1,1,11.48,12.12,30,31.0009,18,215,233
8949,1,1,1,3,0,5,1,1,11.48,12.12,33,27.9993,15,317,332
8950,1,1,1,4,0,5,1,1,10.66,11.365,38,19.9995,7,294,301
8951,1,1,1,4,0,5,1,1,10.66,12.12,38,19.0012,7,199,206
8952,1,1,1,4,0,5,1,1,9.84,12.12,41,11.0014,6,130,136
8953,1,1,1,4,0,5,1,1,9.84,10.605,41,19.0012,7,95,102
8954,1,1,1,1,0,5,1,1,8.2,9.09,47,22.0028,7,58,65
8955,1,1,1,1,0,5,1,1,7.38,9.09,47,12.998,5,60,65
8956,1,1,1,1,0,6,0,1,6.56,9.09,47,7.0015,2,42,44
8957,1,1,1,1,0,6,0,1,6.56,7.575,47,12.998,6,44,50
8958,1,1,1,1,0,6,0,1,6.56,8.335,47,11.0014,6,32,38
8959,1,1,1,1,0,6,0,1,5.74,8.335,54,7.0015,6,14,20
8960,1,1,1,1,0,6,0,1,5.74,7.575,50,8.9981,0,3,3
8961,1,1,1,1,0,6,0,1,5.74,7.575,50,8.9981,0,4,4
8962,1,1,1,1,0,6,0,1,5.74,7.575,50,0,0,5,5
8963,1,1,1,2,0,6,0,1,5.74,7.575,50,8.9981,0,24,24
8964,1,1,1,2,0,6,0,1,4.92,7.575,54,7.0015,3,89,92
8965,1,1,1,2,0,6,0,1,5.74,8.335,50,7.0015,3,78,81
8966,1,1,1,3,0,6,0,1,6.56,11.365,47,0,14,135,149
8967,1,1,1,3,0,6,0,1,8.2,9.85,40,12.998,28,150,178
8968,1,1,1,3,0,6,0,1,9.02,10.605,41,16.9979,30,189,219
8969,1,1,1,3,0,6,0,1,9.02,10.605,44,19.0012,38,182,220
8970,1,1,1,3,0,6,0,1,9.84,10.605,41,19.9995,52,179,231
8971,1,1,1,3,0,6,0,1,9.84,10.605,38,19.9995,49,177,226
8972,1,1,1,3,0,6,0,1,9.84,11.365,38,15.0013,28,178,206
8973,1,1,1,3,0,6,0,1,9.84,11.365,41,16.9979,15,129,144
8974,1,1,1,4,0,6,0,1,9.02,11.365,41,12.998,21,122,143
8975,1,1,1,4,0,6,0,1,8.2,9.85,47,15.0013,12,90,102
8976,1,1,1,4,0,6,0,1,8.2,9.85,44,16.9979,8,95,103
8977,1,1,1,4,0,6,0,1,7.38,8.335,43,16.9979,3,66,69
8978,1,1,1,1,0,6,0,1,6.56,6.82,47,23.9994,4,62,66
8979,1,1,1,1,0,6,0,1,6.56,7.575,47,15.0013,5,71,76
8980,1,1,1,1,0,0,0,1,6.56,6.82,47,22.0028,9,50,59
8981,1,1,1,1,0,0,0,2,6.56,6.82,47,19.9995,2,40,42
8982,1,1,1,1,0,0,0,2,6.56,6.82,47,19.0012,5,38,43
8983,1,1,1,1,0,0,0,2,6.56,6.82,48,26.0027,1,24,25
8984,1,1,1,1,0,0,0,2,6.56,6.82,47,26.0027,1,5,6
8985,1,1,1,1,0,0,0,2,6.56,6.82,47,22.0028,0,5,5
8986,1,1,1,1,0,0,0,2,5.74,6.06,50,19.0012,1,7,8
8987,1,1,1,2,0,0,0,1,4.92,6.06,54,19.0012,3,14,17
8988,1,1,1,2,0,0,0,1,4.92,6.06,54,15.0013,2,34,36
8989,1,1,1,2,0,0,0,1,4.92,6.82,54,12.998,10,80,90
8990,1,1,1,3,0,0,0,1,5.74,6.06,54,19.0012,11,115,126
8991,1,1,1,3,0,0,0,1,6.56,7.575,47,15.0013,21,144,165
8992,1,1,1,3,0,0,0,1,7.38,8.335,40,19.9995,42,192,234
8993,1,1,1,3,0,0,0,1,8.2,9.09,34,19.0012,40,184,224
8994,1,1,1,3,0,0,0,1,8.2,9.09,32,23.9994,25,163,188
8995,1,1,1,3,0,0,0,1,9.02,11.365,27,12.998,33,173,206
